,5402,5404,5405,5403
2022-05-26,0.01,0.01,0.01,0.01
2022-05-27,6.5,3.5,0.01,2.25
2022-05-28,4.5,3.5,3.5,4.5
2022-05-29,2.25,0.01,1.75,4.25
2022-05-30,0.01,0.01,0.01,0.01
2022-05-31,4.0,3.5,3.5,6.5
2022-06-01,4.0,3.5,3.5,4.0
2022-06-02,8.25,8.75,5.25,10.5
2022-06-03,6.0,3.5,1.75,6.0
2022-06-04,8.25,7.0,5.25,10.25
2022-06-05,2.25,5.5,2.0,4.25
2022-06-06,10.75,10.5,8.75,14.25
2022-06-07,0.01,1.75,0.01,2.0
2022-06-08,2.25,1.75,2.0,6.25
2022-06-09,4.25,3.5,3.5,4.25
2022-06-10,0.01,0.01,0.01,0.01
2022-06-11,2.0,5.25,1.75,6.25
2022-06-12,2.25,1.75,1.75,4.0
2022-06-13,17.0,14.0,13.0,16.5
2022-06-14,2.24,7.5,3.5,12.25
2022-06-15,7.0,3.5,3.5,6.5
2022-06-16,6.5,5.25,7.0,8.25
2022-06-17,4.0,3.75,1.75,2.0
2022-06-18,0.01,0.01,0.01,0.01
2022-06-19,2.0,3.5,1.75,4.0
2022-06-20,2.25,3.5,0.01,4.25
2022-06-21,8.25,10.5,9.75,10.5
2022-06-22,10.75,8.75,7.0,12.25
2022-06-23,0.01,0.01,0.01,0.01
2022-06-24,10.0,7.0,8.0,10.0
2022-06-25,4.75,7.0,1.75,6.75
2022-06-26,0.01,1.75,0.01,2.0
2022-06-27,12.25,9.75,10.5,12.5
2022-06-28,2.0,3.5,0.01,4.0
2022-06-29,4.0,3.5,3.5,6.0
2022-06-30,4.0,3.5,3.5,4.0
2022-07-01,6.25,7.0,7.0,10.0
2022-07-02,4.0,3.5,3.0,4.0
2022-07-03,2.0,1.75,1.75,2.0
2022-07-04,2.0,5.25,1.75,6.25
2022-07-05,8.75,8.75,8.75,10.5
2022-07-06,0.01,1.75,0.01,2.0
2022-07-07,4.0,5.25,3.5,6.0
2022-07-08,2.25,3.5,1.75,2.25
2022-07-09,8.75,7.25,3.75,6.75
2022-07-10,6.0,5.25,3.5,9.0
2022-07-11,4.25,1.75,3.5,2.25
2022-07-12,2.0,1.75,1.75,2.0
2022-07-13,6.25,1.75,6.25,8.25
2022-07-14,4.25,5.25,3.5,6.75
2022-07-15,8.0,5.25,5.25,12.0
2022-07-16,2.0,1.75,1.75,4.0
2022-07-17,4.25,5.25,1.75,6.25
2022-07-18,12.5,12.0,9.75,12.75
2022-07-19,6.25,5.25,7.0,9.75
2022-07-20,0.01,0.01,0.01,0.01
2022-07-21,2.0,1.75,2.5,4.0
2022-07-22,3.5,8.75,3.5,10.25
2022-07-23,0.01,0.01,0.01,0.01
2022-07-24,6.0,7.0,5.25,10.25
2022-07-25,2.25,1.75,1.75,4.25
2022-07-26,4.0,7.25,6.25,8.0
2022-07-27,0.01,2.0,1.75,2.0
2022-07-28,6.0,7.0,3.5,8.25
2022-07-29,2.0,1.75,1.75,2.0
2022-07-30,4.0,3.5,3.5,4.0
2022-07-31,6.75,7.0,3.5,11.0
2022-08-01,4.25,8.5,3.75,8.75
2022-08-02,4.0,3.5,3.5,6.0
2022-08-03,4.0,5.25,1.75,8.25
2022-08-04,4.0,5.25,3.5,8.0
2022-08-05,4.25,3.75,1.75,4.25
2022-08-06,6.0,1.75,3.5,6.0
2022-08-07,0.01,5.24,0.01,6.0
2022-08-08,6.25,5.25,3.5,4.25
2022-08-09,4.0,7.0,3.5,6.0
2022-08-10,0.01,1.75,0.01,2.0
2022-08-11,10.5,5.25,5.25,10.5
2022-08-12,4.0,1.75,1.75,0.01
2022-08-13,0.01,1.75,0.01,2.0
2022-08-14,0.01,0.01,0.01,0.01
2022-08-15,10.0,3.5,5.25,8.0
2022-08-16,6.0,7.0,3.5,8.0
2022-08-17,6.5,1.75,3.5,2.25
2022-08-18,4.0,5.25,3.75,8.25
2022-08-19,0.01,0.01,0.01,0.01
2022-08-20,0.01,0.01,0.01,0.01
2022-08-21,12.5,9.5,11.0,10.25
2022-08-22,8.0,7.0,8.75,10.25
2022-08-23,0.01,3.5,0.01,2.0
2022-08-24,2.25,1.75,1.75,2.25
2022-08-25,8.25,8.75,8.75,8.25
2022-08-26,6.5,3.5,5.25,8.75
2022-08-27,4.0,1.75,3.5,2.0
2022-08-28,0.01,5.25,1.75,8.5
2022-08-29,0.01,4.25,0.01,4.0
2022-08-30,6.25,6.75,5.25,8.75
2022-08-31,2.0,3.5,1.75,4.0
2022-09-01,0.01,0.01,2.0,2.0
2022-09-02,8.25,8.75,7.0,10.25
2022-09-03,2.0,0.01,1.75,0.01
2022-09-04,0.01,0.01,0.01,0.01
2022-09-05,2.0,3.5,1.75,4.25
2022-09-06,8.0,8.75,10.5,18.5
2022-09-07,7.99,5.25,7.25,6.25
2022-09-08,8.25,6.99,7.0,10.5
2022-09-09,0.01,3.5,0.01,4.25
2022-09-10,0.01,3.5,0.01,4.0
2022-09-11,2.0,1.75,1.75,4.0
2022-09-12,6.25,3.5,3.5,6.25
2022-09-13,6.0,7.0,3.5,8.25
2022-09-14,0.01,8.0,2.0,7.05
2022-09-15,0.01,2.0,0.01,2.35
2022-09-16,10.15,8.0,8.25,13.0
2022-09-17,5.3,6.0,2.0,8.05
2022-09-18,8.78,12.0,10.5,10.86
2022-09-19,3.05,12.5,2.0,12.75
2022-09-20,6.4,4.0,2.0,7.3
2022-09-21,4.7,4.0,2.0,7.05
2022-09-22,7.05,8.0,8.0,14.35
2022-09-23,9.65,6.0,8.0,7.3
2022-09-24,0.01,0.01,0.01,0.01
2022-09-25,7.8,4.0,4.5,8.05
2022-09-26,8.5,6.0,6.0,4.88
2022-09-27,8.05,13.5,8.0,15.8
2022-09-28,2.6,6.0,2.0,9.9
2022-09-29,4.7,8.0,4.0,10.15
2022-09-30,7.55,6.0,4.0,7.05
2022-10-01,4.7,3.35,2.0,0.01
2022-10-02,10.4,8.0,6.25,7.05
2022-10-03,4.7,4.0,4.0,4.95
2022-10-04,0.01,2.0,0.01,2.35
2022-10-05,5.2,8.0,4.0,9.65
2022-10-06,2.6,0.01,0.01,0.01
2022-10-07,2.35,4.0,2.0,7.3
2022-10-08,9.4,8.0,6.0,7.05
2022-10-09,2.85,4.0,2.0,5.2
2022-10-10,2.35,2.0,2.0,5.45
2022-10-11,12.25,12.0,10.0,17.2
2022-10-12,7.05,4.0,5.5,4.7
2022-10-13,2.6,2.0,2.0,2.6
2022-10-14,2.35,2.0,2.0,2.35
2022-10-15,7.05,6.0,6.0,7.05
2022-10-16,8.15,6.0,9.5,17.45
2022-10-17,0.01,2.0,0.01,2.6
2022-10-18,4.7,6.0,4.0,9.4
2022-10-19,2.35,4.0,0.01,4.7
2022-10-20,0.01,0.01,0.01,0.01
2022-10-21,2.35,6.0,6.0,2.35
2022-10-22,0.01,0.01,0.01,0.01
2022-10-23,2.35,2.0,0.01,4.7
2022-10-24,0.01,0.01,0.01,0.01
2022-10-25,0.01,2.0,2.75,4.7
2022-10-26,2.6,4.0,2.0,7.55
2022-10-27,4.7,0.01,2.0,4.7
2022-10-28,2.35,0.01,2.0,0.01
2022-10-29,2.35,2.0,0.01,0.01
2022-10-30,0.01,0.01,0.01,0.01
2022-10-31,2.6,2.0,2.0,2.6
2022-11-01,2.35,0.01,0.01,7.05
2022-11-02,4.7,0.01,0.01,7.05
2022-11-03,2.35,0.01,0.01,10.15
2022-11-04,0.01,0.01,0.01,0.01
2022-11-05,2.35,0.01,0.01,2.35
2022-11-06,2.6,0.01,0.01,7.05
2022-11-07,0.01,0.01,0.01,0.01
2022-11-08,2.35,0.01,0.01,3.2
2022-11-09,0.01,0.01,0.01,2.35
2022-11-10,2.35,2.0,0.01,4.95
