,6966,5329,5230,5231,5232,5233,5234,5235,6624,6626,6629
2022-02-12,0.01,7.0,5.25,3.5,3.5,1.75,1.75,5.25,0.01,0.01,0.01
2022-02-13,0.01,5.25,3.5,3.5,3.5,3.5,7.0,5.25,0.01,0.01,0.01
2022-02-14,0.01,7.5,7.0,3.5,3.5,1.75,5.25,3.5,0.01,0.01,0.01
2022-02-15,0.01,5.25,5.25,4.99,1.75,7.0,5.75,1.75,0.01,0.01,0.01
2022-02-16,0.01,8.75,5.25,3.5,0.01,1.75,7.0,7.0,0.01,0.01,0.01
2022-02-17,0.01,7.0,1.75,1.75,3.5,1.75,5.25,3.5,0.01,0.01,0.01
2022-02-18,0.01,5.25,3.5,1.75,3.5,3.5,4.25,3.5,0.01,0.01,0.01
2022-02-19,0.01,0.01,0.01,0.01,0.01,1.75,1.75,0.01,0.01,0.01,0.01
2022-02-20,0.01,5.25,1.75,3.5,3.5,8.0,11.25,7.5,0.01,0.01,0.01
2022-02-21,0.01,6.0,0.01,1.75,5.5,1.75,3.5,4.25,0.01,0.01,0.01
2022-02-22,0.01,5.25,5.25,5.25,5.25,3.5,5.25,7.0,0.01,0.01,0.01
2022-02-23,0.01,5.75,5.5,3.75,1.75,3.5,5.75,1.75,0.01,0.01,0.01
2022-02-24,0.01,6.25,8.75,7.0,1.75,5.25,5.25,5.25,0.01,0.01,0.01
2022-02-25,0.01,7.0,5.25,5.25,7.25,7.25,7.5,7.25,0.01,0.01,0.01
2022-02-26,0.01,0.01,1.75,1.75,0.01,0.01,9.5,7.0,0.01,0.01,0.01
2022-02-27,0.01,3.5,7.0,5.25,10.25,9.0,8.75,3.5,0.01,0.01,0.01
2022-02-28,0.01,1.75,5.25,7.5,5.25,5.25,7.0,5.25,0.01,0.01,0.01
2022-03-01,0.01,6.74,1.75,3.5,6.0,3.5,5.75,7.0,0.01,0.01,0.01
2022-03-02,0.01,5.25,3.5,3.5,0.01,3.5,5.5,5.25,0.01,0.01,0.01
2022-03-03,0.01,7.0,3.5,3.5,3.5,5.89,7.0,1.75,0.01,0.01,0.01
2022-03-04,0.01,3.5,2.25,3.25,0.01,5.75,2.25,4.0,0.01,0.01,0.01
2022-03-05,0.01,3.75,1.75,1.75,0.01,1.75,5.25,7.0,0.01,0.01,0.01
2022-03-06,0.01,3.5,8.0,2.25,0.01,3.5,3.5,1.75,0.01,0.01,0.01
2022-03-07,0.01,5.25,4.0,5.25,3.5,3.5,3.5,1.75,0.01,0.01,0.01
2022-03-08,0.01,7.0,3.25,2.25,3.5,3.5,7.75,10.75,0.01,0.01,0.01
2022-03-09,0.01,6.25,5.25,6.25,1.75,3.5,7.0,7.0,0.01,0.01,0.01
2022-03-10,0.01,7.5,5.75,2.25,7.0,5.25,3.5,1.75,0.01,0.01,0.01
2022-03-11,0.01,7.25,5.5,3.5,4.0,3.5,5.25,3.5,0.01,0.01,0.01
2022-03-12,0.01,7.25,3.5,3.5,3.75,7.5,10.5,5.25,0.01,0.01,0.01
2022-03-13,0.01,11.5,7.0,3.5,3.5,1.75,3.5,3.5,0.01,0.01,0.01
2022-03-14,0.01,5.5,3.75,0.01,1.75,1.75,5.25,3.5,0.01,0.01,0.01
2022-03-15,0.01,7.0,7.0,7.0,1.75,1.75,1.75,5.25,0.01,0.01,0.01
2022-03-16,0.01,8.75,8.75,5.25,7.5,12.25,11.25,11.0,0.01,0.01,0.01
2022-03-17,0.01,5.25,3.5,5.5,3.5,3.5,3.75,3.5,0.01,0.01,0.01
