,4580,3736,3739,3735,3747,3746
2022-05-29,0.01,2.38,0.01,4.0,2.25,4.5
2022-05-30,0.01,0.01,0.01,2.0,0.01,2.25
2022-05-31,4.48,4.76,4.76,4.0,4.5,4.5
2022-06-01,2.24,2.77,2.77,0.01,2.25,0.01
2022-06-02,11.2,2.38,9.95,8.0,7.05,7.35
2022-06-03,0.01,0.01,1.99,4.0,4.5,4.5
2022-06-04,4.48,5.97,3.98,5.0,6.75,4.8
2022-06-05,2.24,3.98,1.99,7.0,4.8,7.05
2022-06-06,0.01,0.01,0.01,2.0,2.25,2.25
2022-06-07,4.48,0.01,3.98,4.0,2.25,4.5
2022-06-08,8.96,8.35,1.99,6.0,4.8,7.05
2022-06-09,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-10,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-11,2.24,0.01,1.99,2.0,2.25,2.25
2022-06-12,4.48,6.36,5.97,0.01,4.5,0.01
2022-06-13,2.24,1.99,0.01,6.5,4.8,9.3
2022-06-14,4.48,7.96,3.98,9.5,9.0,11.25
2022-06-15,0.01,0.01,0.01,0.01,0.01,0.01
2022-06-16,6.72,6.75,8.35,2.0,6.75,2.25
2022-06-17,0.01,0.01,0.01,2.0,2.25,2.25
2022-06-18,2.24,1.99,1.99,2.0,6.75,2.25
2022-06-19,4.48,1.99,1.99,4.0,4.5,0.01
2022-06-20,2.24,0.01,1.99,2.0,2.25,0.01
2022-06-21,11.2,8.74,10.73,8.0,9.6,11.85
2022-06-22,2.24,4.37,1.99,2.0,4.5,0.01
2022-06-23,2.24,0.01,0.01,2.0,0.01,4.8
2022-06-24,8.96,3.98,5.97,2.0,4.5,7.05
2022-06-25,2.24,3.98,2.77,4.0,2.25,2.25
2022-06-26,6.72,1.99,1.99,6.0,4.5,4.8
2022-06-27,2.24,1.99,1.99,2.0,2.25,2.25
2022-06-28,0.01,0.01,0.01,0.01,0.01,0.01
2022-06-29,0.01,0.01,0.01,2.0,0.01,2.25
2022-06-30,2.24,1.99,1.99,0.01,2.25,0.01
2022-07-01,0.01,0.01,0.01,2.0,0.01,2.25
2022-07-02,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-03,0.01,0.01,0.01,4.0,4.5,2.25
2022-07-04,0.01,0.01,3.98,2.0,2.55,2.25
2022-07-05,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-06,0.01,1.99,0.01,0.01,2.25,0.01
2022-07-07,6.72,6.36,4.37,4.0,4.5,4.5
2022-07-08,0.01,0.01,0.01,0.01,0.01,0.01
2022-07-09,2.24,3.98,0.01,9.31,5.1,9.6
2022-07-10,6.72,3.98,11.94,4.0,6.75,6.75
2022-07-11,0.01,0.01,1.99,0.01,4.8,0.01
2022-07-12,2.24,3.98,3.98,2.0,2.25,4.5
2022-07-13,6.72,2.77,7.53,2.0,4.5,2.25
2022-07-14,2.24,1.99,1.99,2.0,2.25,2.25
2022-07-15,0.01,0.01,0.01,2.0,0.01,2.25
2022-07-16,4.48,3.98,1.99,2.0,4.8,2.55
2022-07-17,6.72,5.97,5.97,8.0,9.6,9.3
2022-07-18,4.48,3.98,3.98,2.0,7.35,0.01
2022-07-19,2.24,6.36,2.77,4.0,9.0,0.01
2022-07-20,2.24,1.99,1.99,0.01,2.25,2.25
2022-07-21,2.24,1.99,2.77,2.0,2.55,4.8
2022-07-22,2.24,0.01,1.99,2.0,0.01,2.25
2022-07-23,0.01,0.01,0.01,0.01,0.01,2.25
2022-07-24,6.72,5.97,5.97,6.0,6.75,6.75
2022-07-25,4.48,1.99,1.99,4.0,2.25,4.5
2022-07-26,4.48,2.24,2.24,4.5,2.25,0.01
2022-07-27,2.24,4.87,2.63,4.5,2.25,4.5
2022-07-28,4.48,5.26,2.24,6.75,7.65,7.05
2022-07-29,2.24,2.24,2.24,6.75,2.25,7.05
2022-07-30,8.96,8.96,8.96,4.5,9.0,4.5
2022-07-31,0.01,0.01,0.01,0.01,0.01,0.01
2022-08-01,0.01,2.24,0.01,4.5,2.17,4.5
2022-08-02,0.01,0.01,0.01,2.25,0.01,4.5
2022-08-03,2.24,2.24,2.63,2.25,2.55,2.25
2022-08-04,6.72,4.48,2.24,4.5,4.8,7.05
2022-08-05,2.24,0.01,2.24,4.5,2.25,2.25
2022-08-06,0.01,0.01,0.01,2.25,2.25,2.25
2022-08-07,8.96,6.72,8.96,6.75,7.05,6.75
2022-08-08,4.48,0.01,4.48,2.25,4.5,4.5
2022-08-09,2.24,0.01,3.02,0.01,2.25,0.01
2022-08-10,0.01,0.01,0.01,0.01,0.01,2.25
2022-08-11,0.01,0.01,0.01,4.5,2.25,0.01
2022-08-12,8.96,8.96,9.35,2.25,9.3,4.8
2022-08-13,2.24,2.63,0.01,4.5,2.25,2.25
2022-08-14,2.24,2.24,2.24,2.25,2.25,2.25
2022-08-15,0.01,0.01,0.01,2.25,0.01,2.25
2022-08-16,8.96,2.24,10.52,4.5,4.5,2.25
2022-08-17,6.72,4.87,2.24,11.75,7.35,9.3
2022-08-18,4.48,2.24,4.48,2.25,2.25,2.25
2022-08-19,0.01,0.01,0.01,4.5,0.01,4.5
2022-08-20,4.48,2.24,6.72,4.5,4.5,6.75
2022-08-21,6.72,4.48,6.72,2.25,4.5,2.25
2022-08-22,2.24,4.48,1.51,4.5,7.05,7.05
2022-08-23,6.72,0.01,6.72,2.25,0.01,2.25
2022-08-24,6.72,7.11,4.87,9.5,6.75,4.5
2022-08-25,0.01,0.01,0.01,4.25,2.25,2.25
2022-08-26,2.24,2.24,2.63,0.01,2.25,2.25
2022-08-27,0.01,0.01,0.01,0.01,0.01,0.01
2022-08-28,6.72,0.01,6.72,2.25,0.01,1.5
2022-08-29,0.01,0.01,0.01,0.01,0.01,0.01
2022-08-30,2.24,2.24,2.24,2.25,2.25,2.25
2022-08-31,6.72,2.24,6.72,2.25,6.75,2.25
2022-09-01,0.01,0.01,0.01,2.25,0.01,2.25
2022-09-02,2.24,0.01,2.24,2.25,0.01,2.25
2022-09-03,6.55,6.72,11.59,2.25,4.8,5.1
2022-09-04,0.01,0.01,2.24,2.25,0.01,4.8
2022-09-05,4.48,2.24,4.87,6.75,2.25,4.5
2022-09-06,2.24,0.01,2.24,4.5,2.25,4.5
2022-09-07,2.24,0.01,6.72,0.01,0.01,2.25
2022-09-08,2.24,7.89,8.96,9.5,11.55,11.55
2022-09-09,2.24,2.24,2.24,2.25,2.25,2.25
2022-09-10,6.72,5.26,6.72,4.5,6.75,4.5
2022-09-11,4.48,2.24,4.48,4.5,2.25,4.5
2022-09-12,2.24,3.02,3.02,2.25,4.5,2.25
2022-09-13,6.72,4.48,4.87,2.75,7.05,5.1
2022-09-14,2.24,2.24,2.24,2.25,2.25,2.25
2022-09-15,2.24,6.04,4.87,2.25,2.55,7.77
2022-09-16,11.2,9.74,12.37,2.25,7.05,2.25
2022-09-17,2.24,2.04,2.24,2.25,0.01,4.5
2022-09-18,4.48,4.48,2.24,4.5,4.5,2.25
2022-09-19,0.01,0.01,0.01,0.01,0.01,0.01
2022-09-20,0.01,2.24,2.24,6.75,2.25,9.0
2022-09-21,6.48,4.48,4.48,4.5,7.05,2.25
2022-09-22,8.96,8.96,11.2,5.75,9.0,7.05
2022-09-23,0.01,7.11,0.01,6.75,4.8,7.05
2022-09-24,11.2,4.48,11.2,6.75,4.5,4.5
2022-09-25,6.72,4.48,6.72,2.25,6.75,0.01
2022-09-26,0.01,0.01,0.01,4.5,2.25,4.5
2022-09-27,6.72,0.01,6.72,4.5,2.25,4.5
2022-09-28,6.72,2.24,6.72,4.93,4.8,4.8
2022-09-29,0.01,0.01,0.01,2.25,2.25,0.01
2022-09-30,0.01,2.24,0.01,2.25,4.5,0.01
2022-10-01,4.48,4.48,4.48,5.49,6.8,2.55
2022-10-02,4.48,6.72,8.96,2.25,9.0,4.8
2022-10-03,6.72,4.87,6.04,6.75,9.0,6.75
2022-10-04,6.72,2.24,11.2,0.01,2.25,2.25
2022-10-05,6.72,3.02,0.01,12.98,6.75,7.05
2022-10-06,0.01,0.01,0.01,2.25,0.01,2.25
